,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Like
0,0.595,0.67,1,-4.879,0,0.197,0.0338,2.96e-05,0.116,0.667,219.378,audio_features,2dZ6qbPiSoemJYoFWv9e0e,spotify:track:2dZ6qbPiSoemJYoFWv9e0e,https://api.spotify.com/v1/tracks/2dZ6qbPiSoemJYoFWv9e0e,https://api.spotify.com/v1/audio-analysis/2dZ6qbPiSoemJYoFWv9e0e,221960,4,1
1,0.863,0.631,7,-4.689,1,0.0534,0.305,3.04e-05,0.123,0.817,128.977,audio_features,4nK5YrxbMGZstTLbvj6Gxw,spotify:track:4nK5YrxbMGZstTLbvj6Gxw,https://api.spotify.com/v1/tracks/4nK5YrxbMGZstTLbvj6Gxw,https://api.spotify.com/v1/audio-analysis/4nK5YrxbMGZstTLbvj6Gxw,223480,4,1
2,0.723,0.304,7,-14.893,1,0.194,0.902,3.51e-06,0.11,0.376,115.208,audio_features,3wrzt4OwvNjBDzClnqrBdG,spotify:track:3wrzt4OwvNjBDzClnqrBdG,https://api.spotify.com/v1/tracks/3wrzt4OwvNjBDzClnqrBdG,https://api.spotify.com/v1/audio-analysis/3wrzt4OwvNjBDzClnqrBdG,245133,4,1
3,0.774,0.345,9,-10.442,1,0.0931,0.115,0.399,0.0923,0.0399,127.938,audio_features,6ZYT1FBZMvvigBf3XSZREG,spotify:track:6ZYT1FBZMvvigBf3XSZREG,https://api.spotify.com/v1/tracks/6ZYT1FBZMvvigBf3XSZREG,https://api.spotify.com/v1/audio-analysis/6ZYT1FBZMvvigBf3XSZREG,157500,5,1
4,0.801,0.589,7,-5.157,1,0.0485,0.0863,0.0,0.162,0.58,116.934,audio_features,23TPP1eeElFfvYVznskwCY,spotify:track:23TPP1eeElFfvYVznskwCY,https://api.spotify.com/v1/tracks/23TPP1eeElFfvYVznskwCY,https://api.spotify.com/v1/audio-analysis/23TPP1eeElFfvYVznskwCY,180147,4,1
5,0.584,0.627,7,-6.94,1,0.102,0.452,0.000124,0.127,0.336,121.188,audio_features,0PqQGVqBLNniDYgGmpItd5,spotify:track:0PqQGVqBLNniDYgGmpItd5,https://api.spotify.com/v1/tracks/0PqQGVqBLNniDYgGmpItd5,https://api.spotify.com/v1/audio-analysis/0PqQGVqBLNniDYgGmpItd5,232000,4,1
6,0.714,0.483,4,-9.378,0,0.195,0.436,2.3e-05,0.28,0.67,91.025,audio_features,3hARuUtzTdUuWH1KiLJlSf,spotify:track:3hARuUtzTdUuWH1KiLJlSf,https://api.spotify.com/v1/tracks/3hARuUtzTdUuWH1KiLJlSf,https://api.spotify.com/v1/audio-analysis/3hARuUtzTdUuWH1KiLJlSf,139293,4,1
7,0.648,0.436,8,-9.578,1,0.0275,0.0232,0.0,0.0944,0.333,107.019,audio_features,2INUkDPCO1eQlOFmIN5VAC,spotify:track:2INUkDPCO1eQlOFmIN5VAC,https://api.spotify.com/v1/tracks/2INUkDPCO1eQlOFmIN5VAC,https://api.spotify.com/v1/audio-analysis/2INUkDPCO1eQlOFmIN5VAC,224267,4,1
8,0.543,0.756,9,-8.655,1,0.0307,0.000979,0.000338,0.0864,0.332,145.098,audio_features,5HYHGYx3Yl0B344J6eAdgF,spotify:track:5HYHGYx3Yl0B344J6eAdgF,https://api.spotify.com/v1/tracks/5HYHGYx3Yl0B344J6eAdgF,https://api.spotify.com/v1/audio-analysis/5HYHGYx3Yl0B344J6eAdgF,169960,4,1
9,0.729,0.482,11,-7.107,0,0.0376,0.52,0.0,0.091,0.604,89.023,audio_features,4xEDawqLVwsC331aF6Z33x,spotify:track:4xEDawqLVwsC331aF6Z33x,https://api.spotify.com/v1/tracks/4xEDawqLVwsC331aF6Z33x,https://api.spotify.com/v1/audio-analysis/4xEDawqLVwsC331aF6Z33x,327400,4,1
